year,month,day,hour,minute,mslp,meta
1861,3,1,8.0,0,1000.000967,orig=29.53inHg
1861,3,2,8.0,0,1006.773747,orig=29.73inHg
1861,3,4,8.0,0,1008.805581,orig=29.79inHg
