1862,11,13,Thursday,DWR_1862_11-11.jpg
NAIRN,29.88,37,4,0
ABERDEEN,29.98,34,2,0
LEITH,29.99,39,2,0
BERWICK,30.12,30,999,0
ARDROSSAN,29.9,40,2,0
PORTRUSH,29.9,39,2,0
GALWAY,29.81,46,1,0.08
VALENTIA,29.85,50,0,0.79
QUEENSTOWN,29.89,48,1,0.53
HOLYHEAD,30.01,44,2,0
LIVERPOOL,30.12,34,1,0
PEMBROKE,30.09,44,2,0
PENZANCE,30.11,47,2,0
PLYMOUTH,30.14,36,1,0
JERSEY,30.16,35,2,0
WEYMOUTH,30.15,35,2,0
PORTSMOUTH,30.13,37,2,0
DOVER,30.12,999,999,0
LONDON,30.16,33,2,0
YARMOUTH,30.15,34,1,0
SCARBOROUGH,30.13,36,1,0
SHIELDS,30.14,32,2,0
HELIGOLAND,30.06,48,0,0
HELDER,30.08,48,999,0
COPENHAGEN,29.97,48,999,0
BREST,30.14,35,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,43,999,0
LISBON,30.09,56,999,0
