1862,4,5,Saturday,DWR_1862_04-4.jpg
NAIRN,29.82,43,39,0
ABERDEEN,29.84,42,39,0
LEITH,29.88,45,41,0
BERWICK,29.96,45,41,0
ARDROSSAN,29.84,43,41,0
PORTRUSH,29.77,42,41,0
GALWAY,29.75,51,50,0
SHIELDS,29.98,41,37,0
SCARBOROUGH,30.01,43,40,0
HELIGOLAND,30.08,42,41,0
LIVERPOOL,29.97,44,42,0.02
QUEENSTOWN,29.85,55,54,0
VALENTIA,29.83,53,52,1
YARMOUTH,30.1,47,46,0
LONDON,30.12,48,46,0
DOVER,30.12,50,49,0
PORTSMOUTH,30.11,49,46,0
PORTLAND,30.11,50,48,0
PLYMOUTH,30.07,49,48,0
PENZANCE,30.07,52,51,0.37
JERSEY,30.21,51,49,0
COPENHAGEN,30.04,38,999,0
HELDER,30.13,44,999,0
BREST,30.17,51,999,0
BAYONNE,999,53,999,0
LISBON,30.22,59,999,0
