1863,10,3,Saturday,DWR_1863_10-2.jpg
NAIRN,29.44,46,2,0
ABERDEEN,29.54,48,3,0
LEITH,29.59,52,3,0
SHIELDS,29.66,54,3,0
SCARBOROUGH,29.66,56,1,0
GREENCASTLE,29.63,48,1,0.1
GALWAY,29.7,52,0,0.25
VALENTIA,29.71,52,0,0.71
QUEENSTOWN,999,59,1,0.6
LIVERPOOL,29.68,57,1,0.18
HOLYHEAD,29.63,57,0,0.52
PEMBROKE,999,59,0,0.43
PENZANCE,29.93,58,1,0
BREST,30.08,59,1,0
LORIENT,30.08,59,2,0
ROCHEFORT,30.24,57,0,0
PLYMOUTH,29.94,58,2,0.18
WEYMOUTH,29.92,58,2,0.12
PORTSMOUTH,29.91,57,1,0.13
LONDON,29.9,57,2,0.02
DOVER,29.96,60,2,0
YARMOUTH,29.84,54,1,0
HELIGOLAND,29.87,55,1,0
