1863,9,17,Thursday,DWR_1863_09-14.jpg
NAIRN,29.85,50,2,0
ABERDEEN,29.87,53,6,0
LEITH,29.93,53,2,0
SHIELDS,29.99,55,2,0
SCARBOROUGH,30,54,2,0
GREENCASTLE,29.95,53,2,0
GALWAY,30.01,58,0,0
VALENTIA,30.07,59,1,0.08
QUEENSTOWN,999,60,2,0
LIVERPOOL,30.08,55,4,0
HOLYHEAD,30.06,56,4,0
PEMBROKE,30.16,56,3,0
PENZANCE,30.2,56,1,0
BREST,30.2,57,2,0
LORIENT,30.12,55,4,0
ROCHEFORT,30.24,52,2,0
PLYMOUTH,30.19,58,3,0
WEYMOUTH,30.17,56,5,0
PORTSMOUTH,30.13,55,3,0
LONDON,30.14,50,3,0
DOVER,30.15,999,999,0
YARMOUTH,30.06,53,3,0
HELIGOLAND,29.82,56,3,0
