1862,9,29,Monday,DWR_1862_09-26.jpg
NAIRN,29.81,51,50,0
ABERDEEN,29.84,55,54,0
LEITH,29.8,56,55,0
BERWICK,29.85,57,56,0.15
ARDROSSAN,29.73,57,55,0.13
PORTRUSH,29.73,59,57,0
GALWAY,29.62,59,58,0
VALENTIA,29.54,60,58,0.34
QUEENSTOWN,29.65,62,61,0.84
HOLYHEAD,29.73,59,58,0
LIVERPOOL,29.82,59,58,0.03
PEMBROKE,29.79,60,59,0.48
PENZANCE,29.81,60,59,0.43
PLYMOUTH,29.81,60,59,0.73
JERSEY,29.85,63,62,0.15
WEYMOUTH,29.81,62,61,0.12
PORTSMOUTH,29.79,63,62,0.52
DOVER,29.87,999,999,0
LONDON,29.85,62,61,0.48
YARMOUTH,29.86,61,60,0
SCARBOROUGH,29.84,57,56,0.5
SHIELDS,29.84,57,55,0
HELIGOLAND,29.93,61,60,0.15
HELDER,29.87,63,999,0
COPENHAGEN,30.03,56,999,0
BREST,29.82,60,999,0
BAYONNE,999,65,999,0
LISBON,30.1,68,999,0
