1862,5,6,Tuesday,DWR_1862_05-5.jpg
NAIRN,30.01,51,49,0
ABERDEEN,30.08,51,50,0
LEITH,30.02,49,48,0
BERWICK,30.08,53,51,0
ARDROSSAN,29.97,55,53,0
PORTRUSH,29.93,56,54,0
GALWAY,29.87,57,54,0
SHIELDS,30.07,55,53,0
SCARBOROUGH,30.09,56,54,0
HELIGOLAND,30.29,56,52,0
LIVERPOOL,30.04,61,58,0.04
QUEENSTOWN,29.77,56,55,0
VALENTIA,29.78,56,51,0.29
YARMOUTH,30.13,58,55,0
LONDON,30.1,63,58,0
DOVER,30.08,74,67,0
PORTSMOUTH,30.07,57,56,0.2
PORTLAND,30.07,56,54,0.09
PLYMOUTH,30.01,58,55,0
PENZANCE,30.03,56,54,0
JERSEY,30.09,62,58,0
COPENHAGEN,30.38,46,999,0
HELDER,30.17,999,999,0
BREST,30.03,56,999,0
BAYONNE,999,69,999,0
LISBON,30.14,60,999,0
