1863,4,15,Wednesday,DWR_1863_04-12.jpg
NAIRN,29.9,43,2,0
ABERDEEN,29.99,47,3,0
LEITH,29.97,49,2,0
ARDROSSAN,29.96,47,2,0.15
PORTRUSH,29.9,47,2,1.2
GALWAY,29.96,50,999,0.25
VALENTIA,29.99,49,999,1.02
QUEENSTOWN,30.02,48,1,0
HOLYHEAD,29.93,50,2,0
LIVERPOOL,29.91,48,2,0.04
PEMBROKE,29.98,47,1,0
PENZANCE,30.07,48,1,0.5
BREST,30.08,46,1,0.71
LORIENT,29.96,50,4,0.32
ROCHEFORT,30.04,52,1,0
PLYMOUTH,30.01,49,3,0.12
WEYMOUTH,30,51,2,0
PORTSMOUTH,29.99,49,4,0
KEW,30.03,46,1,0
LONDON,30.02,46,999,0
DOVER,30.02,51,2,0
YARMOUTH,30.03,47,1,0
SCARBOROUGH,30.01,47,1,0
SHIELDS,30.05,46,9,0
HELIGOLAND,30.07,47,0,0
COPENHAGEN,30.21,44,999,0
HELDER,30.05,50,999,0
LISBON,30.14,58,999,0
