1863,4,10,Friday,DWR_1863_04-8.jpg
NAIRN,29.78,47,6,0
ABERDEEN,29.84,46,4,0.13
LEITH,29.82,46,3,0
ARDROSSAN,29.76,46,2,0
PORTRUSH,29.77,43,1,0
GALWAY,29.69,48,1,0
VALENTIA,29.67,47,1,0.35
QUEENSTOWN,29.71,51,1,0
HOLYHEAD,29.8,46,2,0
LIVERPOOL,29.84,48,4,0.02
PEMBROKE,29.8,45,2,0
PENZANCE,29.79,47,0,0.25
BREST,29.73,54,1,0.2
LORIENT,29.76,54,0,0.12
ROCHEFORT,29.84,54,0,0
PLYMOUTH,29.77,49,1,0.45
WEYMOUTH,29.78,51,1,0.2
PORTSMOUTH,29.8,52,1,0.17
KEW,29.83,53,0,0
LONDON,29.84,54,1,0.06
DOVER,29.89,53,2,0.08
YARMOUTH,29.85,50,1,0
SCARBOROUGH,29.85,49,1,0
SHIELDS,29.88,50,5,0
HELIGOLAND,29.84,44,0,0
COPENHAGEN,999,999,999,999
HELDER,29.93,53,999,0
LISBON,999,999,999,999
