1863,2,13,Friday,DWR_1863_02-10.jpg
NAIRN,30.57,32,1,0
ABERDEEN,30.63,36,1,0
LEITH,30.64,39,2,0
ARDROSSAN,30.67,41,2,0
PORTRUSH,30.6,38,2,0
GALWAY,30.6,36,2,0
VALENTIA,30.54,45,999,0
QUEENSTOWN,30.56,43,1,0
HOLYHEAD,30.62,36,1,0
LIVERPOOL,30.67,39,1,0
PEMBROKE,30.65,40,2,0
PENZANCE,30.58,42,1,0
JERSEY,999,999,999,999
BREST,30.51,41,0,0
LORIENT,30.47,39,1,0
ROCHEFORT,30.43,36,2,0
PLYMOUTH,30.6,40,2,0
WEYMOUTH,30.64,40,2,0
PORTSMOUTH,30.6,39,2,0
KEW,30.67,29,999,0
LONDON,30.65,33,2,0
YARMOUTH,30.64,37,2,0
SCARBOROUGH,30.65,39,2,0
SHIELDS,30.7,39,2,0
HELIGOLAND,30.35,41,1,0.1
COPENHAGEN,29.96,38,999,0
HELDER,30.55,43,999,0
BAYONNE,999,38,999,0
OPORTO,999,999,999,999
LISBON,30.22,49,999,0
