1863,12,18,Friday,DWR_1863_12-15.jpg
NAIRN,30.19,46,3,0
ABERDEEN,30.18,39,3,0.1
LEITH,30.29,45,2,0.07
ARDROSSAN,999,999,999,999
GREENCASTLE,30.46,44,1,0
GALWAY,30.56,45,1,0.25
VALENTIA,30.58,43,1,0
CAPE CLEAR,30.58,42,1,0
QUEENSTOWN,30.45,40,1,0
LIVERPOOL,30.52,40,2,0
HOLYHEAD,30.49,43,1,0
PEMBROKE,30.55,36,2,0
PENZANCE,30.56,40,3,0
BREST,30.47,43,3,0.08
LORIENT,30.36,41,1,0
ROCHEFORT,30.28,39,0,0
PLYMOUTH,30.53,37,1,0
WEYMOUTH,30.52,34,2,0
PORTSMOUTH,30.46,37,3,0
LONDON,30.45,35,2,0
DOVER,30.44,38,1,0
YARMOUTH,30.39,41,1,0
SCARBOROUGH,30.42,37,2,0
SHIELDS,30.39,42,3,0
HELIGOLAND,30.19,38,2,0
