1863,2,21,Saturday,DWR_1863_02-17.jpg
NAIRN,29.95,44,4,0
ABERDEEN,30.07,42,1,0
LEITH,30.11,44,4,0
ARDROSSAN,30.14,44,2,0
PORTRUSH,30.1,40,2,0
GALWAY,30.14,47,1,0
VALENTIA,30.18,49,2,0
QUEENSTOWN,30.24,49,1,0
HOLYHEAD,30.23,45,1,0
LIVERPOOL,30.29,43,1,0.01
PEMBROKE,30.31,47,1,0.09
PENZANCE,30.34,42,1,0
JERSEY,999,999,999,999
BREST,30.32,41,2,0
LORIENT,30.32,37,1,0
ROCHEFORT,30.36,32,2,0
PLYMOUTH,30.33,48,1,0.09
WEYMOUTH,30.36,47,2,0
PORTSMOUTH,30.43,44,2,0
KEW,30.4,35,0,0
LONDON,30.39,36,1,0
YARMOUTH,30.39,38,1,0
SCARBOROUGH,30.3,38,1,0
SHIELDS,30.37,40,3,0
HELIGOLAND,30.45,36,1,0
COPENHAGEN,30.34,34,999,0
HELDER,30.4,29,999,0
BAYONNE,999,55,999,0
OPORTO,999,999,999,999
LISBON,30.3,45,999,0
