1862,10,28,Tuesday,DWR_1862_10-23.jpg
NAIRN,29.34,41,1,0.52
ABERDEEN,29.37,44,4,0
LEITH,29.49,43,3,0
BERWICK,29.59,44,3,0
ARDROSSAN,29.52,46,2,0.24
PORTRUSH,999,47,4,0
GALWAY,29.7,41,1,0.65
VALENTIA,29.62,56,4,0.92
QUEENSTOWN,29.79,43,1,0
HOLYHEAD,29.71,48,3,0.15
LIVERPOOL,29.73,46,4,0.16
PEMBROKE,29.76,49,3,0.2
PENZANCE,29.88,52,1,0.6
PLYMOUTH,29.8,50,1,0.51
JERSEY,29.92,55,2,0
WEYMOUTH,29.85,50,2,0.13
PORTSMOUTH,29.81,52,2,0.14
DOVER,29.84,55,4,0.35
LONDON,29.82,51,2,0.04
YARMOUTH,29.79,59,2,0
SCARBOROUGH,29.67,46,2,0
SHIELDS,29.6,45,1,0
HELIGOLAND,29.68,52,1,0
HELDER,29.74,55,999,0
COPENHAGEN,29.6,52,999,0
BREST,29.89,56,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,52,999,0
LISBON,29.96,60,999,0
