1862,11,25,Tuesday,DWR_1862_11-21.jpg
NAIRN,29.9,24,999,0
ABERDEEN,29.94,23,999,0
LEITH,29.94,34,2,0
BERWICK,29.95,30,999,0
ARDROSSAN,29.87,32,0,0
PORTRUSH,999,32,1,0
GALWAY,29.85,38,2,0.15
VALENTIA,29.84,40,1,0
QUEENSTOWN,29.86,36,1,0
HOLYHEAD,29.88,36,3,0
LIVERPOOL,29.92,31,1,0
PEMBROKE,29.87,33,2,0
PENZANCE,29.8,38,1,0
PLYMOUTH,29.76,35,2,0
JERSEY,29.56,43,3,0
WEYMOUTH,29.71,36,2,0
PORTSMOUTH,29.67,37,3,0
DOVER,29.43,39,1,0
LONDON,29.75,37,2,0
YARMOUTH,29.78,41,3,0.53
SCARBOROUGH,29.9,36,2,0
SHIELDS,29.92,29,999,0
HELIGOLAND,29.91,31,999,0
HELDER,29.81,34,999,0
COPENHAGEN,29.94,35,999,0
BREST,29.57,42,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,42,999,0
LISBON,999,999,999,999
