1863,5,11,Monday,DWR_1863_05-8.jpg
NAIRN,29.85,46,4,0.1
ABERDEEN,29.83,47,5,0.12
LEITH,29.87,48,4,0
ARDROSSAN,29.89,46,1,0
PORTRUSH,29.88,48,2,0
GALWAY,29.78,49,1,0.5
VALENTIA,29.85,50,0,0.28
QUEENSTOWN,29.94,53,1,0
HOLYHEAD,29.98,44,4,0
LIVERPOOL,30.02,50,6,0
PEMBROKE,30.09,51,4,0
PENZANCE,30.15,51,2,0
BREST,30.2,50,4,0
LORIENT,30.16,46,4,0
ROCHEFORT,30.16,54,5,0
PLYMOUTH,30.13,52,4,0
WEYMOUTH,30.11,51,3,0
PORTSMOUTH,30.07,51,5,0
KEW,30.08,50,6,0
LONDON,30.08,49,5,0
DOVER,29.97,52,3,0
YARMOUTH,30.01,50,4,0
SCARBOROUGH,29.95,48,4,0
SHIELDS,29.95,49,5,0
HELIGOLAND,29.86,48,2,0
COPENHAGEN,29.73,51,999,0
HELDER,29.96,49,999,0
LISBON,30.07,64,999,0
