1863,3,10,Tuesday,DWR_1863_03-8.jpg
NAIRN,999,999,999,999
ABERDEEN,29.53,37,2,0.9
LEITH,29.45,40,2,0
ARDROSSAN,29.42,39,1,0.15
PORTRUSH,29.35,36,1,0
GALWAY,29.23,40,1,0
VALENTIA,29.28,38,0,1.25
QUEENSTOWN,29.27,39,1,0.36
HOLYHEAD,29.32,37,3,0
LIVERPOOL,29.41,36,2,0.02
PEMBROKE,999,999,999,999
PENZANCE,29.31,39,1,0.25
BREST,29.33,41,3,0.43
LORIENT,29.41,41,1,0.24
ROCHEFORT,29.45,39,1,0.91
PLYMOUTH,999,999,999,999
WEYMOUTH,29.34,40,1,0.35
PORTSMOUTH,29.35,38,3,0
KEW,29.41,32,999,0
LONDON,29.41,32,2,0
YARMOUTH,29.4,37,1,0
SCARBOROUGH,29.44,40,2,0
SHIELDS,29.48,41,3,0
HELIGOLAND,29.57,31,999,0
COPENHAGEN,29.74,27,999,0
HELDER,29.42,38,999,0
BAYONNE,999,45,999,0
LISBON,30.02,57,999,0
