1861,12,30,Monday,DWR_1861_12-27.jpg
NAIRN,30.52,33,32,999
ABERDEEN,30.56,36,35,999
LEITH,30.53,39,37,999
BERWICK,30.47,33,999,999
ARDROSSAN,30.54,36,35,999
PORTRUSH,30.51,37,36,999
SHIELDS,30.5,41,39,999
GALWAY,30.49,29,999,999
SCARBOROUGH,30.44,36,35,999
LIVERPOOL,30.47,30,999,999
VALENTIA,30.45,33,32,999
QUEENSTOWN,30.46,34,33,999
YARMOUTH,30.45,30,999,999
LONDON,30.45,29,999,999
DOVER,30.38,31,999,999
PORTSMOUTH,30.42,30,999,999
PORTLAND,30.4,27,999,999
PLYMOUTH,30.33,28,999,999
PENZANCE,30.35,34,33,999
COPENHAGEN,999,999,999,999
HELDER,999,999,999,999
BREST,999,999,999,999
BAYONNE,999,999,999,999
LISBON,999,999,999,999
