1863,11,12,Thursday,DWR_1863_11-11.jpg
NAIRN,29.88,32,999,0.1
ABERDEEN,29.85,38,2,0
LEITH,29.89,42,4,0
SHIELDS,29.84,40,2,0.25
SCARBOROUGH,29.76,40,1,0
GREENCASTLE,29.96,999,1,0.27
GALWAY,30.04,41,0,0.16
VALENTIA,30.06,48,999,0.15
QUEENSTOWN,29.92,44,1,0
LIVERPOOL,29.86,41,2,0.17
HOLYHEAD,29.89,47,1,0
PEMBROKE,29.92,46,2,0.13
PENZANCE,29.96,45,1,0.2
BREST,29.92,46,4,0.32
LORIENT,29.8,43,2,0.04
ROCHEFORT,29.76,43,0,0.59
PLYMOUTH,29.89,44,3,0
WEYMOUTH,29.83,40,1,0.33
PORTSMOUTH,29.8,40,2,0.33
LONDON,29.76,36,2,0
DOVER,29.79,41,1,0.5
YARMOUTH,29.72,37,1,0
HELIGOLAND,29.59,41,0,0.3
