1863,9,26,Saturday,DWR_1863_09-22.jpg
NAIRN,29.8,45,3,0.25
ABERDEEN,29.8,50,5,0
LEITH,29.85,49,3,0
SHIELDS,29.89,50,3,0
SCARBOROUGH,29.9,48,2,0.4
GREENCASTLE,29.96,48,2,0.3
GALWAY,30.12,51,2,0
VALENTIA,30.18,52,4,0.12
QUEENSTOWN,999,51,1,0
LIVERPOOL,29.98,51,2,0.73
HOLYHEAD,29.99,51,2,0
PEMBROKE,30.06,52,2,0.14
PENZANCE,30.15,54,2,0.3
BREST,30.16,50,1,0
LORIENT,30.12,50,1,0
ROCHEFORT,30.16,52,0,0.35
PLYMOUTH,30.1,54,5,0
WEYMOUTH,30.07,53,3,0
PORTSMOUTH,30.03,52,3,0
LONDON,30.02,47,2,0
DOVER,30.04,999,999,0
YARMOUTH,29.96,48,2,0
HELIGOLAND,29.94,55,0,0
