1861,12,12,Thursday,DWR_1861_12-11.jpg
NAIRN,29.33,48,45,999
ABERDEEN,29.36,48,47,0.07
LEITH,29.48,49,46,999
BERWICK,29.51,50,48,999
ARDROSSAN,29.49,49,47,0.45
PORTRUSH,29.41,45,44,999
SHIELDS,29.6,51,49,999
GALWAY,29.23,52,50,999
SCARBOROUGH,29.71,49,48,999
LIVERPOOL,29.66,51,50,999
VALENTIA,999,999,999,999
QUEENSTOWN,29.36,52,51,999
YARMOUTH,29.94,48,47,999
LONDON,29.96,50,49,999
DOVER,999,52,51,999
PORTSMOUTH,29.94,51,49,999
PORTLAND,29.91,53,52,0.05
PLYMOUTH,29.82,54,53,999
PENZANCE,29.77,55,53,0.4
COPENHAGEN,30.13,38,999,999
HELDER,30.09,44,999,999
BREST,30.05,54,999,999
BAYONNE,30.16,48,999,999
LISBON,30.27,49,999,999
