1863,8,7,Friday,DWR_1863_08-6.jpg
NAIRN,29.77,57,2,0.07
ABERDEEN,29.81,61,4,0
LEITH,29.79,60,2,0
SHIELDS,29.77,65,4,0
SCARBOROUGH,29.9,63,2,0
GREENCASTLE,29.76,63,2,0.18
GALWAY,29.8,63,0,0.9
VALENTIA,29.85,64,0,0.22
QUEENSTOWN,29.91,65,1,0.15
LIVERPOOL,29.92,66,3,0.45
HOLYHEAD,29.89,59,0,0.5
PEMBROKE,30,62,0,0.15
PENZANCE,30.09,65,1,0.1
BREST,30.12,64,0,0.04
LORIENT,30.12,68,1,0
ROCHEFORT,30.32,68,2,0
PLYMOUTH,30.08,67,3,0
WEYMOUTH,30.07,63,1,0.07
PORTSMOUTH,30.06,65,2,0.09
LONDON,30.04,66,3,0.01
DOVER,30.05,65,1,0
YARMOUTH,29.97,65,4,0
HELIGOLAND,29.96,60,0,0.15
