1863,4,2,Thursday,DWR_1863_04-1.jpg
NAIRN,30,48,3,0
ABERDEEN,30.03,45,3,0
LEITH,30.07,46,2,0
ARDROSSAN,30.09,48,2,0
PORTRUSH,30.02,48,1,0
GALWAY,30.02,54,2,0
VALENTIA,30.06,50,1,0.07
QUEENSTOWN,30.07,55,1,0
HOLYHEAD,30.09,49,1,0
LIVERPOOL,30.12,45,4,0
PEMBROKE,30.11,49,2,0
PENZANCE,30.14,50,1,0
BREST,30.08,41,2,0
LORIENT,30.04,43,2,0
ROCHEFORT,30.04,46,2,0
PLYMOUTH,30.12,47,3,0
WEYMOUTH,30.13,45,4,0
PORTSMOUTH,30.07,42,3,0
KEW,30.12,39,2,0
LONDON,30.11,40,3,0
DOVER,30.1,44,2,0
YARMOUTH,30.11,45,1,0
SCARBOROUGH,30.12,41,2,0
SHIELDS,30.15,43,3,0
HELIGOLAND,30.16,49,1,0
COPENHAGEN,30.05,37,999,0
HELDER,30.12,39,999,0
LISBON,999,999,999,999
