1862,3,27,Thursday,DWR_1862_03-21.jpg
NAIRN,29.54,35,34,0.18
ABERDEEN,29.55,38,37,0.35
LEITH,29.48,42,40,0
BERWICK,29.49,44,42,0.38
ARDROSSAN,29.43,39,36,0.3
PORTRUSH,29.35,42,41,1
GALWAY,29.25,49,48,0
SHIELDS,29.47,42,41,0.07
SCARBOROUGH,29.46,42,41,0.45
HELIGOLAND,29.51,35,34,0
LIVERPOOL,29.43,46,45,0.09
QUEENSTOWN,29.27,52,51,0
VALENTIA,29.23,51,51,0.45
YARMOUTH,29.44,45,44,0.43
LONDON,29.45,48,47,0.15
DOVER,29.41,52,51,0
PORTSMOUTH,29.39,49,48,0.29
PORTLAND,29.41,49,48,0.45
PLYMOUTH,29.38,51,50,0
PENZANCE,29.43,51,50,0
JERSEY,29.42,54,53,0
COPENHAGEN,29.58,34,999,0
HELDER,29.42,45,999,0
BREST,29.42,51,999,0
BAYONNE,999,57,999,0
LISBON,29.42,53,999,0
