1862,6,18,Wednesday,DWR_1862_06-19.jpg
NAIRN,29.96,54,50,0
ABERDEEN,29.97,53,49,0.3
LEITH,30,58,51,0
ARDROSSAN,30.01,54,51,0.33
PORTRUSH,30.1,52,50,0
GALWAY,30.2,57,54,0
VALENTIA,30.28,55,51,0.2
QUEENSTOWN,30.24,55,53,0
MILFORD,999,999,999,999
HOLYHEAD,999,999,999,999
LIVERPOOL,30.04,54,51,0.17
PENZANCE,30.18,57,56,0.3
PLYMOUTH,30.07,56,51,0.18
JERSEY,30.03,57,52,0.33
PORTLAND,30.01,56,52,0.15
PORTSMOUTH,29.95,55,51,0.4
DOVER,29.86,56,54,0.35
LONDON,29.91,55,51,0.11
YARMOUTH,29.85,53,52,0
SCARBOROUGH,29.92,54,52,0.25
SHIELDS,?29.94,53,49,0
BERWICK,?30.00,56,51,0
HELIGOLAND,29.81,56,54,0
HELDER,29.78,57,999,0
COPENHAGEN,29.78,56,999,0
BREST,30.1,54,999,0
BAYONNE,999,59,999,0
LISBON,30.08,999,999,0
