1862,5,31,Saturday,DWR_1862_05-28.jpg
NAIRN,29.84,54,51,0.41
ABERDEEN,29.82,52,51,0.8
LEITH,29.81,55,999,0
BERWICK,29.82,55,52,0.49
ARDROSSAN,29.83,54,52,1.17
PORTRUSH,29.92,54,53,0
GALWAY,30,64,58,0
SHIELDS,29.8,56,53,0.12
SCARBOROUGH,29.76,54,53,0.56
HELIGOLAND,29.96,60,55,0
LIVERPOOL,29.88,54,52,0.96
QUEENSTOWN,30.01,52,51,0
VALENTIA,30.03,56,52,0
YARMOUTH,29.77,57,55,0
LONDON,29.85,57,55,0.12
DOVER,29.84,?63,59,0
PORTSMOUTH,29.87,58,54,0.47
PORTLAND,29.93,59,56,0.67
PLYMOUTH,29.94,59,54,0.15
PENZANCE,30.03,56,55,0
JERSEY,30.01,61,59,0
COPENHAGEN,30.2,55,999,0
HELDER,29.84,61,999,0
BREST,29.99,52,999,0
BAYONNE,999,63,999,0
LISBON,999,999,999,999
