1862,7,12,Saturday,DWR_1862_07-12.jpg
NAIRN,29.41,53,51,0
ABERDEEN,29.35,54,52,0
LEITH,29.38,53,50,0
BERWICK,29.43,52,50,0
ARDROSSAN,29.32,52,49,0.5
PORTRUSH,29.35,52,50,0.15
GALWAY,29.5,62,60,0
VALENTIA,29.46,57,56,0.3
QUEENSTOWN,999,999,999,999
MILFORD,?29.50,57,56,0.81
HOLYHEAD,29.37,58,55,0.3
LIVERPOOL,29.41,55,54,0.28
PENZANCE,29.59,60,59,0.75
PLYMOUTH,29.52,62,60,0
JERSEY,29.66,60,59,0.45
PORTLAND,29.53,60,59,0.5
PORTSMOUTH,29.52,59,58,0.35
DOVER,29.56,59,56,0.45
LONDON,29.51,57,56,0.33
YARMOUTH,29.51,56,54,0.65
SCARBOROUGH,29.47,51,50,0.27
SHIELDS,29.47,52,50,0
HELIGOLAND,29.72,55,52,0
HELDER,29.66,53,999,0
COPENHAGEN,29.63,57,999,0
BREST,29.66,60,999,0
BAYONNE,999,69,999,0
LISBON,30.03,71,999,0
