1869,2,25,Thursday,DWR_1869_02-48.jpg
HEARTSCONTENT,999,999,999,
SKUDDESNAES,999,999, NaN,
NAIRN,29.42,40,0,
ABERDEEN,29.57,37,0.03,
LEITH,29.77,38,0.08,
ARDROSSAN,29.78,41,0.39,
GREENCASTLE,29.62,45,0.42,
SHIELDS,29.84,40,0.08,
SCARBOROUGH,29.95,37,0.22,
LIVERPOOL,30.02,43,0.25,
HOLYHEAD,29.99,43,0.28,
HELDER,999,999, NaN,
YARMOUTH,29.98,38,0.44,
VALENTIA,30.01,51,0.13,
ROCHESPOINT,30.02,47,0.25,
PEMBROKE,999,999,999,
LONDON,30.1,39,0.16,
CAPECLEAR,30.01,50,0.1,
CAPGRISNEZ,30.04,41,0.11,
BRUSSELS,999,999, NaN,
PORTSMOUTH,30.15,39,0.21,
PLYMOUTH,30.22,42,0.26,
PENZANCE,30.21,42,0.2,
PARIS,999,999,0,
STRASBOURG,999,999, NaN,
BREST,30.29,48,0.02,
LORIENT,30.27,45,0.03,
ROCHEFORT,30.28,48,0.03,
LYONS,999,999, NaN,
BIARRITZ,30.4,46,0,
CORUNNA,999,999, NaN,
TOULON,30.21,46,0,
