1863,11,6,Friday,DWR_1863_11-6.jpg
NAIRN,30.43,31,2,0
ABERDEEN,30.4,32,3,0
LEITH,30.5,38,4,0
SHIELDS,30.53,38,4,0
SCARBOROUGH,30.48,43,2,0
GREENCASTLE,30.52,36,1,0.08
GALWAY,30.49,37,1,0.11
VALENTIA,30.39,54,0,999
QUEENSTOWN,30.33,50,1,1.12
LIVERPOOL,30.53,40,3,0.15
HOLYHEAD,30.48,45,2,0.18
PEMBROKE,30.47,45,2,0.22
PENZANCE,30.46,53,0,0.25
BREST,30.47,54,2,0
LORIENT,30.43,54,3,0
ROCHEFORT,30.55,50,1,0
PLYMOUTH,30.44,51,1,0
WEYMOUTH,30.49,47,3,0
PORTSMOUTH,30.48,47,3,0.07
LONDON,30.48,38,4,0.06
DOVER,30.49,46,1,0.25
YARMOUTH,30.47,43,1,0
HELIGOLAND,30.06,44,0,0
