1863,8,14,Friday,DWR_1863_08-12.jpg
NAIRN,30.08,51,2,0
ABERDEEN,30.13,56,3,0
LEITH,30.09,59,4,0
SHIELDS,30.17,56,3,0
SCARBOROUGH,30.15,58,2,1
GREENCASTLE,29.96,58,2,0
GALWAY,29.78,62,1,0.15
VALENTIA,29.71,63,1,0.93
QUEENSTOWN,29.85,65,2,0.25
LIVERPOOL,30.06,59,4,0
HOLYHEAD,29.95,62,4,0
PEMBROKE,30,63,2,0
PENZANCE,30.01,63,1,0
BREST,30,66,5,0
LORIENT,30,63,4,0
ROCHEFORT,30.04,64,4,0
PLYMOUTH,30.01,65,5,0
WEYMOUTH,30.01,65,3,0
PORTSMOUTH,30,65,5,0
LONDON,30.07,65,6,0
DOVER,30.07,65,4,0
YARMOUTH,30.14,62,5,0
HELIGOLAND,30.16,57,4,0
