1863,10,14,Wednesday,DWR_1863_10-11.jpg
NAIRN,29.36,47,1,0.32
ABERDEEN,29.42,53,0,999
LEITH,29.39,52,2,0.07
SHIELDS,29.44,53,2,0.43
SCARBOROUGH,29.45,51,2,0.53
GREENCASTLE,999,999,1,0
GALWAY,29.15,58,2,0.1
VALENTIA,29.07,51,1,0.15
QUEENSTOWN,29.02,54,1,0.19
LIVERPOOL,29.41,51,2,0.04
HOLYHEAD,29.43,54,0,0
PEMBROKE,29.33,55,1,0.47
PENZANCE,29.37,55,2,0.15
BREST,29.49,57,3,0.08
LORIENT,29.57,55,3,0.2
ROCHEFORT,29.69,54,0,0.04
PLYMOUTH,29.45,57,999,0
WEYMOUTH,29.52,58,4,0.54
PORTSMOUTH,29.57,57,3,0.45
LONDON,29.56,53,4,0.08
DOVER,29.64,59,1,1
YARMOUTH,29.57,55,2,0
HELIGOLAND,29.74,56,0,0.15
