1863,12,5,Saturday,DWR_1863_12-4.jpg
NAIRN,29.32,51,1,0.15
ABERDEEN,29.34,53,4,0
LEITH,29.5,52,2,0
SHIELDS,29.75,52,4,0
SCARBOROUGH,29.85,49,3,0
GREENCASTLE,29.57,47,1,0.3
GALWAY,29.81,49,1,0.45
VALENTIA,29.9,49,0,0.35
CAPE CLEAR,29.91,50,0,0.08
QUEENSTOWN,29.8,52,1,0.16
LIVERPOOL,29.93,41,3,0
HOLYHEAD,29.86,51,0,0.15
PEMBROKE,30.08,52,2,0.1
PENZANCE,30.23,51,2,0
BREST,30.36,52,999,0
LORIENT,30.36,50,2,0
ROCHEFORT,30.55,39,0,0
PLYMOUTH,30.25,51,3,0
WEYMOUTH,30.23,51,3,0
PORTSMOUTH,30.23,50,2,0
LONDON,30.18,48,3,0
DOVER,30.22,52,2,0
YARMOUTH,30.11,46,1,0
HELIGOLAND,30.17,45,0,0
