1862,11,3,Monday,DWR_1862_11-1.jpg
NAIRN,29.88,45,2,0.1
ABERDEEN,29.96,47,1,0
LEITH,29.94,52,3,0
BERWICK,29.98,51,3,0
ARDROSSAN,29.87,50,2,0.2
PORTRUSH,29.86,46,4,0
GALWAY,29.79,46,1,0.06
VALENTIA,29.74,53,1,0.38
QUEENSTOWN,29.85,53,2,0.65
HOLYHEAD,29.92,52,1,0.45
LIVERPOOL,30.02,47,2,0.03
PEMBROKE,29.99,53,0,0.45
PENZANCE,29.96,56,1,0.4
PLYMOUTH,30.05,55,2,0
JERSEY,30.1,54,2,0
WEYMOUTH,30.07,50,2,0.08
PORTSMOUTH,30.07,49,2,0.09
DOVER,30.11,55,2,0
LONDON,30.11,52,2,0
YARMOUTH,30.14,44,1,0
SCARBOROUGH,30.06,45,1,0
SHIELDS,30.01,44,2,0
HELIGOLAND,30.09,51,1,0
HELDER,30.15,50,999,0
COPENHAGEN,30.05,47,999,0
BREST,30.01,52,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,58,999,0
LISBON,999,999,999,999
