1863,6,16,Tuesday,DWR_1863_06-14.jpg
NAIRN,29.88,59,3,0.2
ABERDEEN,29.93,57,2,0.25
LEITH,29.9,54,1,0.44
ARDROSSAN,29.86,59,2,0.2
GREENCASTLE,29.79,59,7,0.25
GALWAY,29.78,59,0,0.15
VALENTIA,29.79,57,1,0.14
QUEENSTOWN,29.8,58,0,0.45
SHIELDS,29.94,59,3,0.3
SCARBOROUGH,29.93,59,2,0.51
LIVERPOOL,29.92,57,2,0.03
HOLYHEAD,29.85,55,0,0.12
PEMBROKE,29.92,56,0,0.42
PENZANCE,29.94,57,1,999
BREST,30.04,57,1,0
LORIENT,30.04,57,2,0
ROCHEFORT,30.12,59,1,0
BAYONNE,29.96,66,999,0
PLYMOUTH,29.98,57,1,0.13
WEYMOUTH,29.99,56,0,0.3
PORTSMOUTH,29.98,59,2,0
LONDON,30,59,3,0
DOVER,30.02,60,3,0
YARMOUTH,29.97,62,3,0
HELDER,29.96,56,999,0
HELIGOLAND,29.94,55,1,0
COPENHAGEN,29.89,59,999,0
LISBON,999,999,999,999
