1862,6,4,Wednesday,DWR_1862_06-3.jpg
NAIRN,29.75,54,48,0
ABERDEEN,29.81,52,50,0.31
LEITH,29.82,57,52,0
BERWICK,29.92,54,49,0.27
ARDROSSAN,29.8,53,52,0.15
PORTRUSH,29.84,55,52,0
GALWAY,29.98,57,53,0
SHIELDS,29.99,54,49,0
SCARBOROUGH,30.06,54,51,0
HELIGOLAND,30.06,65,62,0
LIVERPOOL,30.11,57,51,0.05
QUEENSTOWN,30.11,59,56,0
VALENTIA,30.09,57,54,0.14
YARMOUTH,30.13,57,53,0
LONDON,30.22,57,52,0.02
DOVER,30.23,65,64,0
PORTSMOUTH,30.22,57,52,0
PORTLAND,30.24,57,54,0.13
PLYMOUTH,30.21,58,54,0
PENZANCE,30.25,56,55,0
JERSEY,30.3,61,57,0
COPENHAGEN,29.91,59,999,0
HELDER,30.14,58,999,0
BREST,30.29,59,999,0
BAYONNE,999,63,999,0
LISBON,30.18,70,999,0
