1863,5,7,Thursday,DWR_1863_05-5.jpg
NAIRN,30.11,47,3,0.13
ABERDEEN,30.12,48,6,0.25
LEITH,30.16,51,5,0.51
ARDROSSAN,30.2,48,6,0.31
PORTRUSH,30.21,48,2,0
GALWAY,30.28,57,2,0.15
VALENTIA,30.31,50,4,0.09
QUEENSTOWN,30.28,52,1,0.33
HOLYHEAD,30.17,49,3,0.3
LIVERPOOL,30.16,51,3,0.07
PEMBROKE,30.18,50,3,0.11
PENZANCE,30.2,56,1,0
BREST,30.2,54,4,0
LORIENT,30.12,54,4,0
ROCHEFORT,30.16,54,4,0
PLYMOUTH,30.18,57,2,0
WEYMOUTH,30.16,55,4,0
PORTSMOUTH,30.12,56,4,0.07
KEW,30.13,54,5,0
LONDON,30.12,55,3,0
DOVER,30.11,58,2,0
YARMOUTH,30.07,54,3,0
SCARBOROUGH,30.06,51,999,0.07
SHIELDS,30.18,49,4,0.3
HELIGOLAND,30.07,49,999,0
COPENHAGEN,30.1,48,999,0
HELDER,30.05,53,999,0
LISBON,30.04,59,999,0
