1863,1,27,Tuesday,DWR_1863_01-23.jpg
NAIRN,29.49,36,1,0.2
ABERDEEN,29.55,38,4,0
LEITH,29.76,39,999,0
ARDROSSAN,29.89,43,999,0.21
PORTRUSH,29.97,43,0,0
GALWAY,30.25,39,4,0.15
VALENTIA,30.37,44,999,0.15
QUEENSTOWN,30.32,44,1,0.62
HOLYHEAD,30.12,44,1,0
LIVERPOOL,30.06,44,4,0.02
PEMBROKE,30.25,45,4,0.16
PENZANCE,30.32,47,1,0.15
JERSEY,999,999,999,999
BREST,30.32,52,0,0.12
LORIENT,30.28,52,0,0
ROCHEFORT,30.47,39,1,0
PLYMOUTH,30.25,45,2,0.14
WEYMOUTH,30.25,45,2,0.47
PORTSMOUTH,30.13,49,4,0
KEW,30.11,48,5,0
LONDON,30.06,49,4,0.01
YARMOUTH,29.98,45,4,0
SCARBOROUGH,29.86,42,3,0
SHIELDS,29.87,41,4,0
HELIGOLAND,29.73,44,1,0.15
COPENHAGEN,29.48,41,999,0
HELDER,29.91,46,999,0
BAYONNE,999,37,999,0
LISBON,30.51,47,999,0
