1863,2,17,Tuesday,DWR_1863_02-13.jpg
NAIRN,30.21,43,4,0
ABERDEEN,30.28,41,2,0
LEITH,30.38,41,2,0
ARDROSSAN,30.41,43,1,0
PORTRUSH,30.35,35,1,0
GALWAY,30.4,46,2,0
VALENTIA,30.44,48,2,0
QUEENSTOWN,30.54,49,1,0
HOLYHEAD,30.48,45,1,0
LIVERPOOL,30.56,36,9,0
PEMBROKE,30.61,40,2,0
PENZANCE,30.61,44,1,0
JERSEY,999,999,999,999
BREST,30.59,37,2,0
LORIENT,30.55,34,1,0
ROCHEFORT,30.47,32,2,0
PLYMOUTH,30.61,40,1,0
WEYMOUTH,30.63,42,1,0
PORTSMOUTH,30.61,39,9,0
KEW,30.66,29,999,0
LONDON,30.66,29,999,0
YARMOUTH,30.64,37,2,0
SCARBOROUGH,30.53,37,4,0
SHIELDS,30.5,36,3,0
HELIGOLAND,30.59,38,0,0
COPENHAGEN,30.41,33,999,0
HELDER,30.64,39,999,0
BAYONNE,999,40,999,0
OPORTO,999,999,999,999
LISBON,30.37,47,999,0
