1863,10,6,Tuesday,DWR_1863_10-4.jpg
NAIRN,29.88,34,2,0
ABERDEEN,29.93,39,3,0
LEITH,29.94,43,3,0
SHIELDS,29.99,41,2,0
SCARBOROUGH,29.95,43,2,0.38
GREENCASTLE,29.91,41,2,999
GALWAY,29.86,44,999,0
VALENTIA,29.79,46,1,0.19
QUEENSTOWN,29.81,48,2,0
LIVERPOOL,29.99,46,3,0.26
HOLYHEAD,29.95,48,2,0.38
PEMBROKE,30,42,1,0.17
PENZANCE,30.03,48,1,0
BREST,30.04,48,1,0.55
LORIENT,29.96,45,1,0.16
ROCHEFORT,30,39,0,0
PLYMOUTH,30.03,47,4,0
WEYMOUTH,30.02,44,2,0
PORTSMOUTH,29.99,47,3,0.17
LONDON,29.98,44,3,0.03
DOVER,29.98,51,1,0.7
YARMOUTH,29.95,48,2,0
HELIGOLAND,29.85,57,0,0.04
