1872,1,2,Tuesday,DWR_1872_01-2.jpg,,,,,
CHRISTIANSUND,29.4,47,999, NaN, NaN, NaN, NaN, NaN, NaN
SKUDDESNAES,29.62,42,999, NaN, NaN, NaN,999,999,999
THURSO,29.11,40,999,999,999,0.08,999,999,999
WICK,29.17,42,999,999,999,0.06, NaN, NaN, NaN
OXO,29.85,41,999, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN,29.22,43,999,999,999,0.06, NaN, NaN, NaN
ABERDEEN,29.4,43,999,999,999,0.02, NaN, NaN, NaN
LEITH,29.43,43,999,999,999,0.03, NaN, NaN, NaN
ARDROSSAN,29.42,46,999,999,999,0.12, NaN, NaN, NaN
GREENCASTLE,999,999,999,999,999,999,999,999,999
SHIELDS,999,999,999,999,999,999, NaN, NaN, NaN
SCARBOROUGH,29.67,40,999,999,999,0.14,999,999,999
LIVERPOOL,29.66,42,999,999,999,0.21, NaN, NaN, NaN
HOLYHEAD,29.63,44,999,999,999,1.3,999,999,999
HELDER,29.98,29,999, NaN, NaN, NaN, NaN, NaN, NaN
YARMOUTH,29.87,999,999,999,999,0.78, NaN, NaN, NaN
VALENTIA,29.55,45,999,999,999,0.16,999,999,999
ROCHESPOINT,29.59,41,999,999,999,0.38, NaN, NaN, NaN
PEMBROKE,29.68,46,999,999,999,0.74, NaN, NaN, NaN
LONDON,29.82,43,999,999,999,0.1,999,999,999
DOVER,29.92,37,999,999,999,0.1, NaN, NaN, NaN
CAPGRISNEZ,29.89,34,999,999,999,0, NaN, NaN, NaN
PORTSMOUTH,29.84,44,999,999,999,0.11, NaN, NaN, NaN
PLYMOUTH,29.81,46,999,999,999,0.48, NaN, NaN, NaN
PENZANCE,999,999,999,999,999,999, NaN, NaN, NaN
SCILLY,29.68,45,999,999,999,0.4,999,999,999
BREST,999,48,999,999,999,0.32, NaN, NaN, NaN
LORIENT,29.94,47,999,999,999,0.04, NaN, NaN, NaN
ROCHEFORT,999,999,999,999,999,999,999,999,999
BIARRITZ,30.1,40,999,999,999,0, NaN, NaN, NaN
