1863,11,21,Saturday,DWR_1863_11-20.jpg
NAIRN,29.44,49,3,0
ABERDEEN,29.51,50,1,0
LEITH,29.54,55,3,0
SHIELDS,29.78,48,2,0
SCARBOROUGH,29.74,47,1,0
GREENCASTLE,29.4,52,2,0.27
GALWAY,29.3,50,0,0.62
VALENTIA,29.35,48,1,0.4
QUEENSTOWN,29.29,54,1,0.51
LIVERPOOL,29.68,59,1,0
HOLYHEAD,29.54,53,0,0.25
PEMBROKE,29.64,54,1,0.17
PENZANCE,29.71,54,0,0.2
BREST,29.84,57,1,0
LORIENT,29.92,54,1,0
ROCHEFORT,30.08,48,0,0
PLYMOUTH,29.77,55,1,0
WEYMOUTH,29.83,53,1,0.08
PORTSMOUTH,29.88,52,1,0
LONDON,29.89,50,2,0
DOVER,29.93,52,999,0
YARMOUTH,29.9,48,1,0
HELIGOLAND,30.05,42,0,0
