1862,8,25,Monday,DWR_1862_08-20.jpg
NAIRN,30.26,48,47,0
ABERDEEN,30.27,53,50,0
LEITH,30.26,56,53,0
BERWICK,30.3,57,53,0
ARDROSSAN,30.21,57,55,0
PORTRUSH,30.19,56,52,0
GALWAY,30.1,57,55,0
VALENTIA,29.95,64,63,0.18
QUEENSTOWN,30.05,64,62,0
HOLYHEAD,30.2,60,56,0
LIVERPOOL,30.28,57,53,0
PEMBROKE,30.19,60,59,0
PENZANCE,30.13,63,61,0
PLYMOUTH,30.17,63,59,0
JERSEY,30.18,63,58,0
WEYMOUTH,30.22,63,59,0
PORTSMOUTH,30.22,60,55,0
DOVER,30.29,62,58,0
LONDON,30.31,58,54,0
YARMOUTH,30.34,60,55,0
SCARBOROUGH,30.35,57,55,0
SHIELDS,30.31,58,54,0
HELIGOLAND,30.33,57,54,0
HELDER,30.35,58,999,0
COPENHAGEN,30.17,57,999,0
BREST,30.12,58,999,0
BAYONNE,999,56,999,0
LISBON,29.95,70,999,0
