1868,6,18,Thursday,DWR_1868_06-52.jpg
HEARTSCONTENT,30.08,45,0.11,
SKUDDESNAES,30.1,51, NaN,
NAIRN,30.29,54,0,
ABERDEEN,30.34,54,0,
LEITH,30.36,59,0,
ARDROSSAN,30.31,62,0,
GREENCASTLE,30.27,58,0,
SHIELDS,30.38,58,0,
SCARBOROUGH,30.36,58,0,
CUXHAVEN, NaN, NaN, NaN,
LIVERPOOL,30.32,60,0,
HOLYHEAD,30.25,62,0,
HELDER,30.3,61, NaN,
YARMOUTH,30.32,60,0,
VALENTIA,30.19,59,0,
ROCHESPOINT,30.23,60,0,
LONDON,30.29,64,0,
CAPECLEAR,30.17,59,0,
CAPGRISNEZ,30.25,61,0,
BRUSSELS,30.24,64, NaN,
PORTSMOUTH,30.15,66,0,
WEYMOUTH,999,999,999,
PLYMOUTH,30.21,65,0,
PENZANCE,30.2,64,0,
PARIS,30.17,67,0,
STRASBOURG,999,71, NaN,
BREST,30.12,70,0,
LORIENT,30.01,66,0,
ROCHEFORT,30,73,0,
LYONS,30.18,72, NaN,
BIARRITZ,29.97,77,0,
TOULON,30.08,79,0,
