1863,10,28,Wednesday,DWR_1863_10-23.jpg
NAIRN,29.5,41,1,0.45
ABERDEEN,29.42,46,1,0.7
LEITH,29.47,41,999,0
SHIELDS,29.54,49,3,0.2
SCARBOROUGH,29.58,44,1,0
GREENCASTLE,29.58,44,2,0.5
GALWAY,999,999,999,999
VALENTIA,29.76,43,2,0.52
QUEENSTOWN,29.6,48,1,0.42
LIVERPOOL,29.57,48,1,0.04
HOLYHEAD,29.56,50,1,1.2
PEMBROKE,29.62,50,1,0
PENZANCE,29.73,51,1,0.15
BREST,29.76,52,1,0
LORIENT,29.73,45,0,0
ROCHEFORT,29.76,52,0,0.04
PLYMOUTH,29.69,51,1,0
WEYMOUTH,29.68,54,3,0
PORTSMOUTH,29.7,53,4,0
LONDON,29.7,50,3,0
DOVER,29.72,55,2,0
YARMOUTH,29.7,51,2,0
HELIGOLAND,29.81,43,0,0
