1862,12,8,Monday,DWR_1862_12-7.jpg
NAIRN,29.82,35,1,0
ABERDEEN,29.79,40,1,0.35
LEITH,29.87,41,2,0
BERWICK,29.84,45,2,0.45
ARDROSSAN,29.9,50,4,0.53
PORTRUSH,999,999,999,999
GALWAY,30.18,41,999,999
VALENTIA,30.31,44,3,0.41
QUEENSTOWN,30.2,42,1,0.23
HOLYHEAD,30.07,49,3,0.3
LIVERPOOL,30.02,44,3,0.15
PEMBROKE,30.22,44,2,0.4
PENZANCE,30.29,45,1,0.45
PLYMOUTH,30.21,44,4,0.58
JERSEY,30.19,45,3,0.29
WEYMOUTH,30.16,43,3,0.55
PORTSMOUTH,30.06,45,2,0.27
DOVER,29.94,45,2,2.06
LONDON,30,44,3,0.34
YARMOUTH,29.83,45,2,0.66
SCARBOROUGH,29.8,44,2,0
SHIELDS,29.84,47,3,0.5
HELIGOLAND,29.75,45,0,0
HELDER,29.72,45,999,0
COPENHAGEN,29.82,37,999,0
BREST,30.26,45,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,45,999,0
LISBON,30.42,49,999,0
