1863,3,27,Friday,DWR_1863_03-23.jpg
NAIRN,29.99,47,2,0
ABERDEEN,29.95,51,6,0
LEITH,30.12,49,4,0
ARDROSSAN,30.27,48,3,0
PORTRUSH,30.35,47,2,0
GALWAY,30.54,49,0,0
VALENTIA,30.61,50,2,0
QUEENSTOWN,30.57,48,1,0
HOLYHEAD,30.45,48,2,0
LIVERPOOL,30.44,46,3,0
PEMBROKE,30.53,45,2,0
PENZANCE,30.56,49,1,0
BREST,30.51,46,0,0
LORIENT,30.43,48,3,0
ROCHEFORT,30.39,45,2,0
PLYMOUTH,30.53,46,999,0
WEYMOUTH,30.5,48,3,0
PORTSMOUTH,30.46,45,4,0
KEW,30.46,42,3,0
LONDON,30.44,42,3,0
DOVER,30.34,46,4,0
YARMOUTH,30.36,43,2,0
SCARBOROUGH,30.3,41,2,0
SHIELDS,30.25,45,3,0
HELIGOLAND,30.11,46,0,0.1
COPENHAGEN,29.62,36,999,0
HELDER,30.24,42,999,0
LISBON,999,999,999,999
