1870,4,8,Friday,DWR_1870_04-14.jpg
HEARTSCONTENT,999,999,999,
CHRISTIANSUND,29.68,32, NaN,
SKUDDESNAES,29.7,39, NaN,
THURSO,29.35,43,0,
WICK,29.88,44,0,
OXO,29.75,36, NaN,
NAIRN,29.39,44,0.02,
ABERDEEN,29.36,45,0,
LEITH,29.48,45,0.02,
ARDROSSAN,29.51,44,0.04,
GREENCASTLE,29.48,40,0.16,
SHIELDS,999,51,0,
SCARBOROUGH,29.66,50,0,
LIVERPOOL,999,999,0,
HOLYHEAD,29.6,46,0,
HELDER,29.83,45, NaN,
YARMOUTH,29.78,48,0,
VALENTIA,29.69,47,0.03,
ROCHESPOINT,29.61,46,0,
PEMBROKE,29.65,46,0,
LONDON,29.77,51,0,
CAPECLEAR,29.61,47,0.07,
CAPGRISNEZ,29.82,48,0,
BRUSSELS,999,999, NaN,
PORTSMOUTH,29.76,48,0,
PLYMOUTH,29.74,49,0,
PENZANCE,29.74,50,0,
PARIS,999,999,999,
STRASBOURG,999,999, NaN,
BREST,999,48,0,
LORIENT,29.84,47,0,
ROCHEFORT,29.86,46,0,
LYONS,999,999, NaN,
BIARRITZ,29.75,49,0,
CORUNNA,999,999, NaN,
TOULON,29.95,47,0.32,
