1863,4,18,Saturday,DWR_1863_04-15.jpg
NAIRN,30.21,46,5,0.1
ABERDEEN,30.25,46,1,0
LEITH,30.29,48,5,0
ARDROSSAN,30.32,46,2,0
PORTRUSH,30.33,45,2,0
GALWAY,30.38,48,1,0
VALENTIA,30.38,48,5,0.07
QUEENSTOWN,30.37,49,1,0
HOLYHEAD,30.33,47,3,0
LIVERPOOL,30.34,48,7,0.03
PEMBROKE,30.32,49,4,0
PENZANCE,30.32,52,1,0
BREST,30.28,52,3,0
LORIENT,30.2,50,3,0
ROCHEFORT,30.2,50,1,0
PLYMOUTH,30.28,56,2,0
WEYMOUTH,30.27,54,4,0
PORTSMOUTH,30.21,54,4,0
KEW,30.22,51,3,0
LONDON,30.24,54,3,0
DOVER,30.19,52,1,0
YARMOUTH,30.21,51,2,0
SCARBOROUGH,30.27,50,3,0
SHIELDS,30.34,47,6,0
HELIGOLAND,30.07,45,0,0.15
COPENHAGEN,999,999,999,999
HELDER,30.14,48,999,0
LISBON,29.99,62,999,0
