1863,7,15,Wednesday,DWR_1863_07-12.jpg
NAIRN,30.21,58,4,0
ABERDEEN,30.16,59,5,0
LEITH,30.21,65,6,0
SHIELDS,30.24,63,5,0
SCARBOROUGH,30.2,67,3,0
GREENCASTLE,30.36,57,2,0
GALWAY,30.39,62,0,0
VALENTIA,30.38,65,5,0
QUEENSTOWN,30.37,64,2,0
LIVERPOOL,30.32,61,3,0
HOLYHEAD,30.32,?54,0,0
PEMBROKE,30.34,63,2,0
PENZANCE,30.32,62,1,0
BREST,30.24,63,1,0
LORIENT,30.2,63,3,0
ROCHEFORT,30.16,66,5,0
PLYMOUTH,30.29,66,3,0
WEYMOUTH,30.27,66,6,0
PORTSMOUTH,30.23,60,3,0
LONDON,30.26,62,3,0
DOVER,30.23,999,999,0
YARMOUTH,30.2,62,2,0
HELDER,30.15,64,999,0
HELIGOLAND,30.06,60,4,0
