1863,8,13,Thursday,DWR_1863_08-11.jpg
NAIRN,30.03,59,4,0
ABERDEEN,30.03,53,4,0.06
LEITH,30.04,56,4,0
SHIELDS,30.06,57,3,0
SCARBOROUGH,30.04,54,1,0
GREENCASTLE,29.91,56,3,0.12
GALWAY,29.96,59,1,0.9
VALENTIA,29.89,65,4,0.22
QUEENSTOWN,29.95,64,2,0.16
LIVERPOOL,29.99,56,1,0.26
HOLYHEAD,29.95,58,2,999
PEMBROKE,29.94,62,3,0
PENZANCE,29.98,62,2,0
BREST,29.96,64,5,0
LORIENT,29.92,63,5,0
ROCHEFORT,30.04,68,2,0
PLYMOUTH,29.96,66,5,0
WEYMOUTH,30,64,3,0
PORTSMOUTH,29.9,63,5,0
LONDON,29.94,65,5,0
DOVER,29.94,67,3,0
YARMOUTH,30,62,4,0
HELIGOLAND,30.05,57,3,0
