1863,9,11,Friday,DWR_1863_09-9.jpg
NAIRN,30.09,50,3,0.09
ABERDEEN,30.08,51,4,0
LEITH,30.13,52,4,0.09
SHIELDS,30.16,50,3,0
SCARBOROUGH,30.13,52,3,0
GREENCASTLE,30.21,52,1,0.23
GALWAY,30.29,55,1,0
VALENTIA,30.34,56,5,0
QUEENSTOWN,999,55,1,0
LIVERPOOL,30.2,55,5,0.12
HOLYHEAD,30.19,54,3,0
PEMBROKE,30.28,55,4,0
PENZANCE,30.35,55,2,0
BREST,30.36,52,1,0
LORIENT,30.28,50,2,0
ROCHEFORT,30.32,54,2,0
PLYMOUTH,30.34,56,4,0
WEYMOUTH,30.25,55,4,0.14
PORTSMOUTH,30.19,53,3,0.21
LONDON,30.19,50,4,0
DOVER,30.19,56,3,0
YARMOUTH,30.11,52,2,0
HELIGOLAND,29.85,54,3,0.47
