1862,1,22,Wednesday,DWR_1862_01-21.jpg
NAIRN,29.51,35,33,999
ABERDEEN,29.56,36,35,0.24
LEITH,29.46,38,36,999
BERWICK,29.45,37,35,999
ARDROSSAN,29.35,35,34,999
PORTRUSH,?29.07,40,39,999
SHIELDS,29.48,37,36,999
GALWAY,28.94,39,38,999
SCARBOROUGH,29.5,38,36,999
LIVERPOOL,29.31,37,36,999
VALENTIA,28.77,45,44,0.28
QUEENSTOWN,28.75,47,46,999
YARMOUTH,29.5,39,38,999
LONDON,29.42,40,39,0.04
DOVER,29.48,42,41,999
PORTSMOUTH,29.41,41,40,999
PORTLAND,29.35,46,44,0.14
PLYMOUTH,29.26,47,43,999
PENZANCE,29.24,47,46,999
COPENHAGEN,999,999,999,999
HELDER,29.69,32,999,999
BREST,29.42,45,999,999
BAYONNE,29.81,38,999,999
LISBON,29.99,53,999,999
