1862,2,6,Thursday,DWR_1862_02-4.jpg
NAIRN,30.03,35,34,0.4
ABERDEEN,30,36,35,0.32
LEITH,30.04,40,37,999
BERWICK,29.94,45,42,0.43
ARDROSSAN,30.08,41,40,999
PORTRUSH,30.09,44,43,999
GALWAY,30.15,44,?43,999
SHIELDS,29.99,40,39,999
SCARBOROUGH,29.95,44,43,0.2
LIVERPOOL,30.03,44,43,999
QUEENSTOWN,30.07,50,49,999
VALENTIA,30.07,47,46,999
YARMOUTH,29.92,46,45,999
LONDON,30,46,45,999
DOVER,29.99,46,45,999
PORTSMOUTH,30.05,47,46,999
PORTLAND,30.06,48,47,999
PLYMOUTH,30.05,47,46,999
PENZANCE,30.11,48,47,999
COPENHAGEN,29.65,21,999,999
HELDER,29.85,39,999,999
BREST,30.1,48,999,999
BAYONNE,30.19,38,999,999
LISBON,30.28,48,999,999
