1862,1,23,Thursday,DWR_1862_01-22.jpg
NAIRN,29.15,42,39,999
ABERDEEN,29.41,41,40,0.35
LEITH,29.42,42,39,999
BERWICK,29.45,38,36,999
ARDROSSAN,29.38,41,40,999
PORTRUSH,?28.97,42,41,999
SHIELDS,29.55,37,36,999
GALWAY,29.36,37,36,999
SCARBOROUGH,29.62,36,35,999
LIVERPOOL,29.55,37,36,999
VALENTIA,29.29,41,40,0.13
QUEENSTOWN,29.32,43,?42,999
YARMOUTH,29.75,38,37,999
LONDON,29.7,40,39,999
DOVER,29.75,44,42,999
PORTSMOUTH,29.68,42,41,999
PORTLAND,29.62,45,43,0.09
PLYMOUTH,29.51,45,43,999
PENZANCE,29.47,47,45,999
COPENHAGEN,29.8,32,999,999
HELDER,29.83,999,999,999
BREST,29.46,45,999,999
BAYONNE,29.81,48,999,999
LISBON,29.96,60,999,999
