1862,8,22,Friday,DWR_1862_08-18.jpg
NAIRN,29.78,52,51,0
ABERDEEN,29.77,59,55,0
LEITH,29.78,57,54,0
BERWICK,29.83,57,53,0
ARDROSSAN,29.8,57,55,0.33
PORTRUSH,29.84,56,53,0
GALWAY,29.94,57,54,0
VALENTIA,30.01,60,57,999
QUEENSTOWN,29.98,56,55,0
HOLYHEAD,29.88,59,55,0
LIVERPOOL,29.89,58,55,0.03
PEMBROKE,29.96,58,56,0
PENZANCE,30.03,58,57,0
PLYMOUTH,30,59,55,0
JERSEY,30.02,61,58,0
WEYMOUTH,29.96,61,57,0
PORTSMOUTH,29.91,58,54,0
DOVER,29.87,64,60,0
LONDON,29.88,58,56,0.05
YARMOUTH,29.84,63,61,0
SCARBOROUGH,29.84,60,57,0.32
SHIELDS,29.84,59,56,0
HELIGOLAND,30,64,63,0
HELDER,29.84,64,999,0
COPENHAGEN,29.92,64,999,0
BREST,30.03,53,999,0
BAYONNE,999,66,999,0
LISBON,30.06,68,999,0
