1862,12,11,Thursday,DWR_1862_12-10.jpg
NAIRN,29.55,34,1,0.17
ABERDEEN,29.55,38,1,0
LEITH,29.61,44,2,0
BERWICK,29.63,45,2,0
ARDROSSAN,29.62,43,1,0.2
PORTRUSH,999,999,999,999
GALWAY,29.8,41,2,0.3
VALENTIA,29.91,43,2,0.2
QUEENSTOWN,29.88,47,1,0
HOLYHEAD,29.77,47,2,0.12
LIVERPOOL,29.8,45,1,0
PEMBROKE,29.9,49,1,0
PENZANCE,30.02,48,1,0
PLYMOUTH,30.01,49,2,0
JERSEY,30.12,48,1,0
WEYMOUTH,30,49,2,0.06
PORTSMOUTH,30.02,46,2,0
DOVER,30.02,41,1,0
LONDON,30,42,3,0
YARMOUTH,29.95,39,2,0.5
SCARBOROUGH,29.78,40,2,0
SHIELDS,29.71,43,2,0
HELIGOLAND,29.82,44,1,0
HELDER,29.96,42,999,0
COPENHAGEN,999,999,999,999
BREST,30.09,50,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,50,999,0
LISBON,30.42,48,999,0
