1863,12,19,Saturday,DWR_1863_12-16.jpg
NAIRN,30.27,48,4,0
ABERDEEN,30.28,48,2,0
LEITH,30.35,48,2,0
ARDROSSAN,999,999,999,999
GREENCASTLE,999,999,999,999
GALWAY,30.59,43,0,0.1
VALENTIA,30.61,43,0,0.08
CAPE CLEAR,30.56,40,2,0
QUEENSTOWN,30.5,47,1,0
LIVERPOOL,30.49,47,1,0.01
HOLYHEAD,30.52,48,0,0
PEMBROKE,30.57,43,1,0
PENZANCE,30.58,46,0,0
BREST,30.47,37,1,0
LORIENT,30.47,32,0,0
ROCHEFORT,30.36,34,1,0
PLYMOUTH,30.57,43,1,0
WEYMOUTH,30.53,44,1,0
PORTSMOUTH,30.53,43,0,0
LONDON,30.5,42,1,0
DOVER,30.48,46,1,0
YARMOUTH,30.43,40,1,0
SCARBOROUGH,30.39,44,2,0
SHIELDS,30.41,46,2,0
HELIGOLAND,30.14,47,0,0
