1863,5,14,Thursday,DWR_1863_05-11.jpg
NAIRN,29.39,48,3,0.35
ABERDEEN,29.4,55,7,0.1
LEITH,29.52,51,3,0.2
ARDROSSAN,29.58,50,1,0.26
PORTRUSH,29.61,48,2,0
GALWAY,29.67,51,0,0.25
VALENTIA,29.66,50,0,0.25
QUEENSTOWN,29.73,53,1,0.11
HOLYHEAD,29.71,54,3,0.15
LIVERPOOL,29.76,52,5,0.09
PEMBROKE,29.84,52,2,0.1
PENZANCE,29.94,55,1,0
BREST,30,55,2,0
LORIENT,30.04,55,1,0
ROCHEFORT,30.12,59,2,0
PLYMOUTH,29.92,57,3,0.1
WEYMOUTH,29.93,54,3,0.06
PORTSMOUTH,29.89,55,4,0
KEW,29.9,53,4,0
LONDON,29.88,52,4,0.08
DOVER,29.93,54,3,0
YARMOUTH,29.82,54,3,0
SCARBOROUGH,29.67,51,4,0.15
SHIELDS,29.63,51,6,0
HELIGOLAND,29.77,51,1,0
COPENHAGEN,29.76,54,999,0
HELDER,29.81,54,999,0
LISBON,30.15,67,999,0
