1863,4,9,Thursday,DWR_1863_04-7.jpg
NAIRN,29.29,48,4,0
ABERDEEN,29.38,49,2,0.2
LEITH,29.4,53,999,0
ARDROSSAN,29.37,48,1,0.52
PORTRUSH,29.37,44,2,0
GALWAY,29.48,46,1,0.25
VALENTIA,29.6,45,2,0.09
QUEENSTOWN,29.58,51,1,0
HOLYHEAD,29.51,49,0,0.25
LIVERPOOL,29.58,54,4,0.02
PEMBROKE,29.62,51,1,0.32
PENZANCE,29.71,52,0,0.33
BREST,29.8,52,0,0.79
LORIENT,29.84,54,0,0.47
ROCHEFORT,999,54,1,0.16
PLYMOUTH,29.73,51,1,0.38
WEYMOUTH,29.77,50,0,0.24
PORTSMOUTH,29.77,51,1,0.23
KEW,29.8,52,2,0
LONDON,29.79,53,2,0.09
DOVER,29.95,51,1,0.1
YARMOUTH,29.75,53,2,0
SCARBOROUGH,29.62,52,2,0.35
SHIELDS,29.56,53,3,0
HELIGOLAND,29.91,43,0,0
COPENHAGEN,29.94,41,999,0
HELDER,29.83,48,999,0
LISBON,30.1,55,999,0
