1863,5,2,Saturday,DWR_1863_05-1.jpg
NAIRN,30.15,54,3,0
ABERDEEN,30.15,55,4,0
LEITH,30.18,55,4,0
ARDROSSAN,30.23,51,2,0
PORTRUSH,30.26,50,2,0
GALWAY,30.3,55,0,0.1
VALENTIA,30.32,55,2,0
QUEENSTOWN,30.26,54,1,0
HOLYHEAD,30.22,46,0,0
LIVERPOOL,30.26,50,1,0
PEMBROKE,30.23,52,2,0
PENZANCE,30.27,51,3,0
BREST,30.04,50,4,0
LORIENT,29.84,50,4,0
ROCHEFORT,29.69,50,2,0.39
PLYMOUTH,30.15,53,8,0
WEYMOUTH,30.14,50,6,0
PORTSMOUTH,30.12,49,4,0
KEW,30.19,47,4,0
LONDON,30.2,47,4,0
DOVER,30.13,51,1,0
YARMOUTH,30.22,49,4,0
SCARBOROUGH,30.22,52,3,0
SHIELDS,30.24,55,4,0
HELIGOLAND,30.24,43,2,0
COPENHAGEN,30.16,44,999,0
HELDER,30.23,45,999,0
LISBON,999,999,999,999
