1862,7,23,Wednesday,DWR_1862_07-23.jpg
NAIRN,29.91,54,49,0
ABERDEEN,29.92,55,49,0
LEITH,29.94,58,52,0
BERWICK,29.98,55,50,0
ARDROSSAN,29.98,55,52,0
PORTRUSH,30.02,55,51,0
GALWAY,30.09,56,54,0
VALENTIA,?30.07,61,57,0
QUEENSTOWN,30.06,58,56,0
MILFORD,30,58,54,0.28
HOLYHEAD,29.99,57,53,0
LIVERPOOL,30.02,58,52,0
PENZANCE,30,59,58,0.72
PLYMOUTH,29.98,60,59,0.52
JERSEY,30.06,61,60,0.38
PORTLAND,29.95,61,60,0
PORTSMOUTH,29.94,60,59,0.35
DOVER,?29.98,60,?53,0
LONDON,29.98,57,56,0.25
YARMOUTH,29.99,60,55,0
SCARBOROUGH,30.01,57,54,0
SHIELDS,30.03,54,49,0
HELIGOLAND,30.05,55,52,0
HELDER,30.06,55,999,0
COPENHAGEN,30.01,56,999,0
BREST,30.06,59,999,0
BAYONNE,999,68,999,0
LISBON,30.01,80,999,0
