1862,11,27,Thursday,DWR_1862_11-23.jpg
NAIRN,29.32,30,1,0
ABERDEEN,29.37,36,0,0.12
LEITH,29.35,39,2,0
BERWICK,29.37,34,2,0
ARDROSSAN,29.27,35,1,0.19
PORTRUSH,999,34,2,0
GALWAY,29.33,42,1,0.23
VALENTIA,29.45,40,0,999
QUEENSTOWN,29.46,40,2,0.2
HOLYHEAD,29.38,43,1,0
LIVERPOOL,29.4,36,2,0
PEMBROKE,29.56,40,1,0.1
PENZANCE,29.59,44,1,0
PLYMOUTH,29.53,39,9,0.15
JERSEY,29.61,44,1,0.1
WEYMOUTH,29.55,45,2,0.16
PORTSMOUTH,29.49,44,1,0.16
DOVER,29.54,45,1,0
LONDON,29.45,40,1,0.01
YARMOUTH,29.55,49,1,0
SCARBOROUGH,29.49,36,1,0
SHIELDS,29.4,36,1,0
HELIGOLAND,29.49,41,0,0
HELDER,29.56,33,999,0
COPENHAGEN,29.52,41,999,0
BREST,29.64,45,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,46,999,0
LISBON,999,999,999,999
