1862,8,20,Wednesday,DWR_1862_08-16.jpg
NAIRN,29.89,55,999,0
ABERDEEN,29.93,54,50,0
LEITH,29.97,59,53,0
BERWICK,29.97,57,53,0
ARDROSSAN,29.96,56,54,0.27
PORTRUSH,30,57,54,0
GALWAY,30.02,59,56,0.23
VALENTIA,30.06,60,57,0.24
QUEENSTOWN,30.03,55,54,0.3
HOLYHEAD,29.98,57,54,0.1
LIVERPOOL,30,60,56,0.07
PEMBROKE,30.02,59,58,0
PENZANCE,30.02,62,61,0
PLYMOUTH,30.02,61,60,0
JERSEY,30.05,59,57,0
WEYMOUTH,30.02,63,57,0
PORTSMOUTH,30,60,57,0
DOVER,30.01,59,57,0
LONDON,30.03,57,55,0
YARMOUTH,30.01,60,56,0
SCARBOROUGH,30,60,57,0
SHIELDS,30,57,54,0
HELIGOLAND,29.99,62,61,0
HELDER,30,61,999,0
COPENHAGEN,30.02,61,999,0
BREST,30.01,55,999,0
BAYONNE,999,65,999,0
LISBON,999,999,999,999
