1863,11,11,Wednesday,DWR_1863_11-10.jpg
NAIRN,29.24,35,2,0
ABERDEEN,29.25,35,1,0
LEITH,29.29,40,2,0
SHIELDS,29.34,40,3,0
SCARBOROUGH,29.36,38,2,0
GREENCASTLE,29.39,41,1,0.36
GALWAY,29.54,42,2,0.4
VALENTIA,29.63,44,2,999
QUEENSTOWN,29.43,43,1,0.61
LIVERPOOL,29.38,41,1,0.31
HOLYHEAD,29.4,46,1,0
PEMBROKE,29.28,43,1,1.07
PENZANCE,29.31,46,1,0.55
BREST,29.37,50,2,1.18
LORIENT,29.37,46,1,0.87
ROCHEFORT,29.69,48,0,0.28
PLYMOUTH,29.1,47,2,0.6
WEYMOUTH,29.18,46,1,0.5
PORTSMOUTH,29.3,45,1,0.28
LONDON,29.41,35,2,0.14
DOVER,29.42,46,1,0.25
YARMOUTH,29.44,36,1,0
HELIGOLAND,29.39,40,0,0
