1862,1,7,Tuesday,DWR_1862_01-5.jpg
NAIRN,29.85,44,42,999
ABERDEEN,29.87,37,36,999
LEITH,29.91,42,40,999
BERWICK,?30.04,41,39,999
ARDROSSAN,29.92,44,43,999
PORTRUSH,29.92,42,41,999
SHIELDS,29.99,39,38,999
GALWAY,29.91,45,44,999
SCARBOROUGH,30.01,37,36,999
LIVERPOOL,30.06,41,40,0.29
VALENTIA,29.93,50,49,999
QUEENSTOWN,29.94,48,47,999
YARMOUTH,30.07,35,34,999
LONDON,30.13,38,36,999
DOVER,30.12,42,40,999
PORTSMOUTH,999,40,39,999
PORTLAND,30.16,42,41,999
PLYMOUTH,30.12,38,37,999
PENZANCE,30.15,44,42,999
COPENHAGEN,999,999,999,999
HELDER,30.07,39,999,999
BREST,30.19,43,999,999
BAYONNE,30.29,46,999,999
LISBON,30.35,49,999,999
